,salesdate,netsales
996,2024-01-31,71.8
997,2024-02-01,171.3
998,2024-02-02,65.4
999,2024-02-03,150.6
1000,2024-02-04,146.5
1001,2024-02-05,114.9
1002,2024-02-06,206.1
1003,2024-02-07,72.3
1004,2024-02-08,152.5
1005,2024-02-09,146.5
1006,2024-02-10,59.4
1007,2024-02-11,73.9
1008,2024-02-14,80.8
1009,2024-02-15,139.6
1010,2024-02-16,108.9
1011,2024-02-17,49.5
1012,2024-02-18,59.4
1013,2024-03-15,125.0
1014,2024-03-17,125.0
1015,2024-03-22,343.9
1016,2024-03-24,1111.1
1017,2024-03-25,1697.6
1018,2024-03-30,659.9
1019,2024-04-01,587.3
1020,2024-04-02,909.2
1021,2024-05-20,190.5
1022,2024-05-22,107.0
1023,2024-07-28,34.0
1024,2024-09-06,20.7
1025,2024-09-07,41.0
1026,2024-09-11,14.0
1027,2024-09-15,10.4
1028,2024-09-27,10.4
1029,2024-09-29,45.7
1030,2024-10-03,39.9
1031,2024-10-15,17.0
1032,2024-10-16,49.5
1033,2024-10-17,12.8
1034,2024-10-20,20.6
1035,2024-10-22,12.5
1036,2024-10-25,41.0
1037,2024-10-26,12.8
1038,2024-10-27,6.5
1039,2024-11-07,78.0
1040,2024-11-23,7.3
1041,2024-11-25,44.8
1042,2024-11-26,6.4
1043,2024-11-27,13.4
1044,2024-12-01,14.3
1127,2024-01-01,1156.6
1128,2024-01-02,1248.2
1129,2024-01-03,1249.5
1130,2024-01-04,1008.3
1131,2024-01-05,1294.9
1132,2024-01-06,1075.0
1133,2024-01-07,1026.2
1134,2024-01-08,1211.4
1135,2024-01-09,1241.8
1136,2024-01-10,1144.0
1137,2024-01-11,1046.2
1138,2024-01-12,1148.6
1139,2024-01-13,813.2
1140,2024-01-14,614.6
1141,2024-01-15,1346.0
1142,2024-01-16,1375.1
1143,2024-01-17,1291.9
1144,2024-01-18,1355.4
1145,2024-01-19,910.2
1146,2024-01-20,860.0
1147,2024-01-21,667.8
1148,2024-01-22,595.2
1149,2024-01-23,741.2
1150,2024-01-24,936.2
1151,2024-01-25,640.9
1152,2024-01-26,863.5
1153,2024-01-27,894.0
1154,2024-01-28,1289.9
1155,2024-01-29,1077.7
1156,2024-01-30,1323.1
1157,2024-01-31,1126.1
1158,2024-02-01,1103.0
1159,2024-02-02,1059.0
1160,2024-02-03,1218.7
1161,2024-02-04,1169.4
1162,2024-02-05,1093.5
1163,2024-02-06,1258.7
1164,2024-02-07,912.8
1165,2024-02-08,620.0
1166,2024-02-09,480.8
1167,2024-02-10,297.6
1168,2024-02-11,378.4
1169,2024-02-12,48.0
1170,2024-02-13,331.6
1171,2024-02-14,306.0
1172,2024-02-15,313.0
1173,2024-02-16,173.7
1174,2024-02-17,348.1
1175,2024-02-19,223.2
1176,2024-02-20,186.5
1177,2024-02-21,312.0
1178,2024-02-22,265.2
1179,2024-02-23,278.8
1180,2024-02-24,181.2
1181,2024-02-25,0.0
1182,2024-02-26,145.1
1183,2024-02-27,175.2
1184,2024-02-28,207.9
1185,2024-02-29,390.4
1186,2024-03-01,268.1
1187,2024-03-02,198.7
1188,2024-03-04,205.6
1189,2024-03-05,254.3
1190,2024-03-06,267.3
1191,2024-03-07,205.4
1192,2024-03-09,150.5
1193,2024-03-11,173.1
1194,2024-03-12,144.5
1195,2024-03-13,125.1
1196,2024-03-14,126.1
1197,2024-03-16,181.5
1198,2024-03-17,501.8
1199,2024-03-18,511.8
1200,2024-03-19,511.5
1201,2024-03-20,513.4
1202,2024-03-21,717.0
1203,2024-03-23,243.1
1204,2024-03-24,542.5
1205,2024-03-25,607.5
1206,2024-03-26,440.0
1207,2024-03-27,433.8
1208,2024-03-28,451.7
1209,2024-03-29,322.7
1210,2024-03-30,510.4
1211,2024-03-31,538.4
1212,2024-04-01,442.7
1213,2024-04-02,385.2
1214,2024-04-03,656.3
1215,2024-04-04,273.6
1216,2024-04-15,755.4
1217,2024-04-16,1243.5
1218,2024-04-17,1151.6
1219,2024-04-18,1335.4
1220,2024-04-19,942.1
1221,2024-04-20,885.0
1222,2024-04-21,856.6
1223,2024-04-22,1224.4
1224,2024-04-23,950.1
1225,2024-04-24,901.5
1226,2024-04-25,1157.3
1227,2024-04-26,685.4
1228,2024-04-27,871.6
1229,2024-04-28,975.6
1230,2024-04-29,1124.6
1231,2024-04-30,1001.6
1232,2024-05-01,1049.05
1233,2024-05-02,1006.5
1234,2024-05-03,539.4
1235,2024-05-04,598.8
1236,2024-05-06,435.5
1237,2024-05-07,388.0
1238,2024-05-08,324.5
1239,2024-05-09,435.9
1240,2024-05-10,523.2
1241,2024-05-11,465.8
1242,2024-05-12,673.1
1243,2024-05-13,1285.4
1244,2024-05-14,910.4
1245,2024-05-15,997.8
1246,2024-05-16,887.4
1247,2024-05-20,1208.5
1248,2024-05-21,944.4
1249,2024-05-22,792.3
1250,2024-05-23,1051.4
1251,2024-05-24,775.4
1252,2024-05-25,763.6
1253,2024-05-26,868.2
1254,2024-05-27,642.7
1255,2024-05-28,538.2
1256,2024-05-29,431.8
1257,2024-05-30,717.5
1258,2024-05-31,532.1
1259,2024-06-01,592.5
1260,2024-06-02,434.2
1261,2024-06-04,911.3
1262,2024-06-05,1002.9
1263,2024-06-06,684.1
1264,2024-06-07,1017.3
1265,2024-06-08,836.8
1266,2024-06-09,883.7
1267,2024-06-10,1109.1
1268,2024-06-11,945.7
1269,2024-06-12,1096.4
1270,2024-06-13,465.4
1271,2024-06-14,642.0
1272,2024-06-15,566.9
1273,2024-06-18,884.8
1274,2024-06-19,739.3
1275,2024-06-20,748.2
1276,2024-06-21,775.8
1277,2024-06-22,737.3
1278,2024-06-23,877.7
1279,2024-06-24,895.9
1280,2024-06-25,727.6
1281,2024-06-26,453.9
1282,2024-06-27,888.0
1283,2024-06-28,620.7
1284,2024-06-30,144.3
1285,2024-07-01,452.0
1286,2024-07-02,411.7
1287,2024-07-03,279.2
1288,2024-07-04,426.4
1289,2024-07-05,369.6
1290,2024-07-07,386.6
1291,2024-07-09,828.5
1292,2024-07-10,453.8
1293,2024-07-11,546.0
1294,2024-07-12,672.1
1295,2024-07-13,763.3
1296,2024-07-14,718.2
1297,2024-07-15,830.2
1298,2024-07-16,715.8
1299,2024-07-17,675.3
1300,2024-07-18,353.8
1301,2024-07-19,572.1
1302,2024-07-20,595.3
1303,2024-07-21,510.0
1304,2024-07-22,377.0
1305,2024-07-23,896.6
1306,2024-07-24,315.5
1307,2024-07-25,637.6
1308,2024-07-26,272.2
1391,2024-01-01,1156.6
1392,2024-01-02,1248.2
1393,2024-01-03,1249.5
1394,2024-01-04,1008.3
1395,2024-01-05,1294.9
1396,2024-01-06,1075.0
1397,2024-01-07,1026.2
1398,2024-01-08,1211.4
1399,2024-01-09,1241.8
1400,2024-01-10,1144.0
1401,2024-01-11,1046.2
1402,2024-01-12,1148.6
1403,2024-01-13,813.2
1404,2024-01-14,614.6
1405,2024-01-15,1346.0
1406,2024-01-16,1375.1
1407,2024-01-17,1291.9
1408,2024-01-18,1355.4
1409,2024-01-19,910.2
1410,2024-01-20,860.0
1411,2024-01-21,667.8
1412,2024-01-22,595.2
1413,2024-01-23,741.2
1414,2024-01-24,936.2
1415,2024-01-25,640.9
1416,2024-01-26,863.5
1417,2024-01-27,894.0
1418,2024-01-28,1289.9
1419,2024-01-29,1077.7
1420,2024-01-30,1323.1
1421,2024-01-31,1126.1
1422,2024-02-01,1103.0
1423,2024-02-02,1059.0
1424,2024-02-03,1218.7
1425,2024-02-04,1169.4
1426,2024-02-05,1093.5
1427,2024-02-06,1258.7
1428,2024-02-07,912.8
1429,2024-02-08,620.0
1430,2024-02-09,480.8
1431,2024-02-10,297.6
1432,2024-02-11,378.4
1433,2024-02-12,48.0
1434,2024-02-13,331.6
1435,2024-02-14,306.0
1436,2024-02-15,313.0
1437,2024-02-16,173.7
1438,2024-02-17,348.1
1439,2024-02-19,223.2
1440,2024-02-20,186.5
1441,2024-02-21,312.0
1442,2024-02-22,265.2
1443,2024-02-23,278.8
1444,2024-02-24,181.2
1445,2024-02-25,0.0
1446,2024-02-26,145.1
1447,2024-02-27,175.2
1448,2024-02-28,207.9
1449,2024-02-29,390.4
1450,2024-03-01,268.1
1451,2024-03-02,198.7
1452,2024-03-04,205.6
1453,2024-03-05,254.3
1454,2024-03-06,267.3
1455,2024-03-07,205.4
1456,2024-03-09,150.5
1457,2024-03-11,173.1
1458,2024-03-12,144.5
1459,2024-03-13,125.1
1460,2024-03-14,126.1
1461,2024-03-16,181.5
1462,2024-03-17,501.8
1463,2024-03-18,511.8
1464,2024-03-19,511.5
1465,2024-03-20,513.4
1466,2024-03-21,717.0
1467,2024-03-23,243.1
1468,2024-03-24,542.5
1469,2024-03-25,607.5
1470,2024-03-26,440.0
1471,2024-03-27,433.8
1472,2024-03-28,451.7
1473,2024-03-29,322.7
1474,2024-03-30,510.4
1475,2024-03-31,538.4
1476,2024-04-01,442.7
1477,2024-04-02,385.2
1478,2024-04-03,656.3
1479,2024-04-04,273.6
1480,2024-04-15,755.4
1481,2024-04-16,1243.5
1482,2024-04-17,1151.6
1483,2024-04-18,1335.4
1484,2024-04-19,942.1
1485,2024-04-20,885.0
1486,2024-04-21,856.6
1487,2024-04-22,1224.4
1488,2024-04-23,950.1
1489,2024-04-24,901.5
1490,2024-04-25,1157.3
1491,2024-04-26,685.4
1492,2024-04-27,871.6
1493,2024-04-28,975.6
1494,2024-04-29,1124.6
1495,2024-04-30,1001.6
1496,2024-05-01,1049.05
1497,2024-05-02,1006.5
1498,2024-05-03,539.4
1499,2024-05-04,598.8
1500,2024-05-06,435.5
1501,2024-05-07,388.0
1502,2024-05-08,324.5
1503,2024-05-09,435.9
1504,2024-05-10,523.2
1505,2024-05-11,465.8
1506,2024-05-12,673.1
1507,2024-05-13,1285.4
1508,2024-05-14,910.4
1509,2024-05-15,997.8
1510,2024-05-16,887.4
1511,2024-05-20,1208.5
1512,2024-05-21,944.4
1513,2024-05-22,792.3
1514,2024-05-23,1051.4
1515,2024-05-24,775.4
1516,2024-05-25,763.6
1517,2024-05-26,868.2
1518,2024-05-27,642.7
1519,2024-05-28,538.2
1520,2024-05-29,431.8
1521,2024-05-30,717.5
1522,2024-05-31,532.1
1523,2024-06-01,592.5
1524,2024-06-02,434.2
1525,2024-06-04,911.3
1526,2024-06-05,1002.9
1527,2024-06-06,684.1
1528,2024-06-07,1017.3
1529,2024-06-08,836.8
1530,2024-06-09,883.7
1531,2024-06-10,1109.1
1532,2024-06-11,945.7
1533,2024-06-12,1096.4
1534,2024-06-13,465.4
1535,2024-06-14,642.0
1536,2024-06-15,566.9
1537,2024-06-18,884.8
1538,2024-06-19,739.3
1539,2024-06-20,748.2
1540,2024-06-21,775.8
1541,2024-06-22,737.3
1542,2024-06-23,877.7
1543,2024-06-24,895.9
1544,2024-06-25,727.6
1545,2024-06-26,453.9
1546,2024-06-27,888.0
1547,2024-06-28,620.7
1548,2024-06-30,144.3
1549,2024-07-01,452.0
1550,2024-07-02,411.7
1551,2024-07-03,279.2
1552,2024-07-04,426.4
1553,2024-07-05,369.6
1554,2024-07-07,386.6
1555,2024-07-09,828.5
1556,2024-07-10,453.8
1557,2024-07-11,546.0
1558,2024-07-12,672.1
1559,2024-07-13,763.3
1560,2024-07-14,718.2
1561,2024-07-15,830.2
1562,2024-07-16,715.8
1563,2024-07-17,675.3
1564,2024-07-18,353.8
1565,2024-07-19,572.1
1566,2024-07-20,595.3
1567,2024-07-21,510.0
1568,2024-07-22,377.0
1569,2024-07-23,896.6
1570,2024-07-24,315.5
1571,2024-07-25,637.6
1572,2024-07-26,272.2
1889,2024-01-01,2095.75
1890,2024-01-02,2564.75
1891,2024-01-04,2096.2
1892,2024-01-05,3008.6
1893,2024-01-06,3720.2
1894,2024-01-08,2863.95
1895,2024-01-09,2584.2
1896,2024-01-11,2326.95
1897,2024-01-12,2590.2
1898,2024-01-13,2401.4
1899,2024-01-14,1539.25
1900,2024-01-15,1338.85
1901,2024-01-16,1232.1
1902,2024-01-18,1607.7
1903,2024-01-19,2176.05
1904,2024-01-20,2090.35
1905,2024-01-21,2186.35
1906,2024-01-22,1579.9
1907,2024-01-23,1262.6
1908,2024-01-25,2627.1
1909,2024-01-26,2704.7
1910,2024-01-27,1761.1
1911,2024-01-28,997.05
1912,2024-01-29,1519.65
1913,2024-01-30,2041.7
1914,2024-02-01,1601.8
1915,2024-02-02,1738.55
1916,2024-02-03,1836.7
1917,2024-02-04,1662.15
1918,2024-02-05,1981.85
1919,2024-02-06,980.55
1920,2024-02-08,1505.1
1921,2024-02-09,2014.7
1922,2024-02-10,1087.45
1923,2024-02-11,1530.25
1924,2024-02-12,1643.25
1925,2024-02-13,1087.15
1926,2024-02-15,1179.9
1927,2024-02-16,1308.35
1928,2024-02-17,1835.45
1929,2024-02-18,1022.3
1930,2024-02-19,1073.2
1931,2024-02-22,1484.75
1932,2024-02-23,2152.85
1933,2024-02-24,1204.05
1934,2024-02-25,1349.1
1935,2024-02-26,986.15
1936,2024-02-27,1624.5
1937,2024-02-28,227.7
1938,2024-02-29,2276.05
1939,2024-03-01,2646.65
1940,2024-03-02,3188.3
1941,2024-03-03,2305.7
1942,2024-03-04,1896.6
1943,2024-03-05,2153.4
1944,2024-03-07,1784.65
1945,2024-03-08,2117.8
1946,2024-03-09,2115.2
1947,2024-03-10,2949.55
1948,2024-03-11,1551.2
1949,2024-03-12,66.0
1950,2024-03-13,138.0
1951,2024-03-14,1154.6
1952,2024-03-15,1472.25
1953,2024-03-16,371.3
1954,2024-03-17,1081.0
1955,2024-03-18,1498.1
1956,2024-03-19,1043.05
1957,2024-03-21,2600.9
1958,2024-03-22,3505.45
1959,2024-03-23,2759.05
1960,2024-03-24,1949.35
1961,2024-03-25,2612.4
1962,2024-03-26,1976.75
1963,2024-03-27,147.0
1964,2024-03-28,2032.85
1965,2024-03-29,4196.45
1966,2024-03-30,2341.55
1967,2024-03-31,6051.85
1968,2024-04-01,4032.6
1969,2024-04-02,2954.8
1970,2024-04-03,32.95
1971,2024-04-04,5359.65
1972,2024-04-05,4459.7
1973,2024-04-06,3001.15
1974,2024-04-07,4063.3
1975,2024-04-08,3347.35
1976,2024-04-09,1123.0
1977,2024-04-14,1421.75
1978,2024-04-15,938.05
1979,2024-04-16,1319.55
1980,2024-04-18,751.3
1981,2024-04-19,1073.95
1982,2024-04-20,949.55
1983,2024-04-21,845.7
1984,2024-04-22,302.0
1985,2024-04-23,1177.4
1986,2024-04-25,902.4
1987,2024-04-26,414.85
1988,2024-04-27,864.35
1989,2024-04-28,868.3
1990,2024-04-29,1214.35
1991,2024-04-30,760.1
1992,2024-05-02,478.85
1993,2024-05-03,1125.15
1994,2024-05-04,1473.65
1995,2024-05-05,866.0
1996,2024-05-06,524.35
1997,2024-05-07,1224.0
1998,2024-05-09,1217.05
1999,2024-05-10,1307.45
2000,2024-05-11,1379.2
2001,2024-05-12,1949.75
2002,2024-05-13,1050.85
2003,2024-05-14,1401.7
2004,2024-05-16,1340.85
2005,2024-05-17,1547.8
2006,2024-05-18,1600.05
2007,2024-05-19,1061.8
2008,2024-05-20,932.8
2009,2024-05-21,931.5
2010,2024-05-23,1067.8
2011,2024-05-24,1282.4
2012,2024-05-25,1626.55
2013,2024-05-26,1465.55
2014,2024-05-27,1302.85
2015,2024-05-28,1212.65
2016,2024-05-30,2097.9
2017,2024-05-31,1426.6
2018,2024-06-01,1236.4
2019,2024-06-02,1664.8
2020,2024-06-03,1188.9
2021,2024-06-04,1317.9
2022,2024-06-06,904.5
2023,2024-06-07,1390.1
2024,2024-06-08,1342.7
2025,2024-06-09,927.15
2026,2024-06-10,709.2
2027,2024-06-11,1892.5
2028,2024-06-13,953.3
2029,2024-06-14,2252.7
2030,2024-06-15,1298.35
2031,2024-06-16,1782.75
2032,2024-06-20,1189.85
2033,2024-06-21,1522.2
2034,2024-06-22,932.6
2035,2024-06-23,815.35
2036,2024-06-24,1090.2
2037,2024-06-25,1217.45
2038,2024-06-27,609.85
2039,2024-06-28,1963.0
2040,2024-06-29,1374.5
2041,2024-06-30,1018.95
2042,2024-07-01,1119.05
2043,2024-07-02,1123.3
2044,2024-07-03,75.6
2045,2024-07-04,1213.4
2046,2024-07-05,865.3
2047,2024-07-06,1161.0
2048,2024-07-07,1852.25
2049,2024-07-08,1238.8
2050,2024-07-09,1065.1
2051,2024-07-11,1686.25
2052,2024-07-12,3070.1
2053,2024-07-13,2506.55
2054,2024-07-14,1390.6
2055,2024-07-15,857.8
2056,2024-07-16,1654.7
2057,2024-07-18,988.0
2058,2024-07-19,1179.95
2059,2024-07-20,1232.65
2060,2024-07-21,1347.15
2061,2024-07-22,848.0
2062,2024-07-23,1697.4
2063,2024-07-25,1435.0
2064,2024-07-26,1951.4
2065,2024-07-27,1027.05
2066,2024-07-28,672.9
2067,2024-07-29,1154.2
2068,2024-07-30,905.8
2069,2024-08-01,1553.75
2070,2024-08-02,1371.65
2071,2024-08-03,1575.5
2072,2024-08-04,997.6
2073,2024-08-05,928.75
2074,2024-08-06,3143.05
2075,2024-08-08,1834.45
2076,2024-08-09,1784.4
2077,2024-08-10,1507.2
2078,2024-08-11,2796.1
2079,2024-08-12,911.35
2080,2024-08-13,775.25
2081,2024-08-15,3639.65
2082,2024-08-16,1279.3
2083,2024-08-17,1869.3
2084,2024-08-18,1409.5
2085,2024-08-19,671.3
2086,2024-08-20,1022.55
2087,2024-08-22,1567.55
2088,2024-08-23,1216.75
2089,2024-08-24,1797.1
2090,2024-08-25,1054.5
2091,2024-08-26,960.05
2092,2024-08-27,923.35
2093,2024-08-29,1245.75
2094,2024-08-30,2743.05
2095,2024-08-31,2309.0
2096,2024-09-01,2498.05
2097,2024-09-02,1032.7
2098,2024-09-03,997.4
2099,2024-09-05,902.7
2100,2024-09-06,1303.5
2101,2024-09-07,874.7
2102,2024-09-08,1161.6
2103,2024-09-09,1014.4
2104,2024-09-10,1032.25
2105,2024-09-12,5956.3
2106,2024-09-13,1125.65
2107,2024-09-14,1271.85
2108,2024-09-15,1160.0
2109,2024-09-16,459.65
2110,2024-09-17,917.7
2111,2024-09-19,688.6
2112,2024-09-20,777.15
2113,2024-09-22,674.35
2114,2024-09-23,289.0
2115,2024-09-24,1161.1
2116,2024-09-26,704.75
2117,2024-09-27,1007.75
2118,2024-09-28,1133.4
2119,2024-09-29,1005.45
2120,2024-09-30,949.55
2121,2024-10-01,557.6
2122,2024-10-03,1039.85
2123,2024-10-04,945.15
2124,2024-10-05,1498.7
2125,2024-10-06,1403.95
2126,2024-10-07,468.65
2127,2024-10-08,1041.15
2128,2024-10-10,734.05
2129,2024-10-11,1998.55
2130,2024-10-12,1679.75
2131,2024-10-13,1126.85
2132,2024-10-14,535.75
2133,2024-10-15,881.1
2134,2024-10-17,513.55
2135,2024-10-18,1229.55
2136,2024-10-19,1677.55
2137,2024-10-20,1264.0
2138,2024-10-21,544.9
2139,2024-10-22,566.3
2140,2024-10-24,726.5
2141,2024-10-25,1432.85
2142,2024-10-26,1047.75
2143,2024-10-27,908.45
2144,2024-10-28,903.2
2145,2024-10-29,1828.15
2146,2024-10-31,828.1
2147,2024-11-01,931.65
2148,2024-11-02,1686.4
2149,2024-11-03,928.4
2150,2024-11-04,1084.1
2151,2024-11-05,874.25
2152,2024-11-07,1403.2
2153,2024-11-08,1748.95
2154,2024-11-09,1058.7
2155,2024-11-10,1062.5
2156,2024-11-11,1289.2
2157,2024-11-12,349.7
2158,2024-11-13,23.0
2159,2024-11-14,1158.4
2160,2024-11-15,1267.85
2161,2024-11-16,6315.25
2162,2024-11-17,1106.8
2163,2024-11-18,621.1
2164,2024-11-19,995.75
2165,2024-11-21,990.05
2166,2024-11-22,1067.85
2167,2024-11-23,1033.0
2168,2024-11-24,1023.6
2169,2024-11-25,1056.05
2170,2024-11-26,744.0
2171,2024-11-28,1117.75
2172,2024-11-29,1197.5
2173,2024-11-30,1097.95
2174,2024-12-01,820.2
2175,2024-12-02,565.6
2176,2024-12-03,1042.45
2177,2024-12-05,554.2
2178,2024-12-06,1173.95
2179,2024-12-07,1265.4
2180,2024-12-08,1345.6
2181,2024-12-09,1068.0
2182,2024-12-10,726.2
2183,2024-12-12,891.3
2184,2024-12-13,681.1
2185,2024-12-14,883.75
2186,2024-12-15,940.45
2187,2024-12-16,837.7
2188,2024-12-17,1072.1
2189,2024-12-19,766.2
2190,2024-12-20,1202.5
2191,2024-12-21,1011.4
2192,2024-12-22,1488.55
2193,2024-12-23,754.6
2194,2024-12-24,1919.2
2195,2024-12-26,1625.6
2196,2024-12-27,1555.2
2197,2024-12-28,1776.05
2198,2024-12-29,1590.75
2199,2024-12-30,1110.7
2200,2024-12-31,2121.6
2375,2024-01-01,2095.75
2376,2024-01-02,2564.75
2377,2024-01-04,2096.2
2378,2024-01-05,3008.6
2379,2024-01-06,3720.2
2380,2024-01-08,2863.95
2381,2024-01-09,2584.2
2382,2024-01-11,2326.95
2383,2024-01-12,2590.2
2384,2024-01-13,2401.4
2385,2024-01-14,1539.25
2386,2024-01-15,1338.85
2387,2024-01-16,1232.1
2388,2024-01-18,1607.7
2389,2024-01-19,2176.05
2390,2024-01-20,2090.35
2391,2024-01-21,2186.35
2392,2024-01-22,1579.9
2393,2024-01-23,1262.6
2394,2024-01-25,2627.1
2395,2024-01-26,2704.7
2396,2024-01-27,1761.1
2397,2024-01-28,997.05
2398,2024-01-29,1519.65
2399,2024-01-30,2041.7
2400,2024-02-01,1601.8
2401,2024-02-02,1738.55
2402,2024-02-03,1836.7
2403,2024-02-04,1662.15
2404,2024-02-05,1981.85
2405,2024-02-06,980.55
2406,2024-02-08,1505.1
2407,2024-02-09,2014.7
2408,2024-02-10,1087.45
2409,2024-02-11,1530.25
2410,2024-02-12,1643.25
2411,2024-02-13,1087.15
2412,2024-02-15,1179.9
2413,2024-02-16,1308.35
2414,2024-02-17,1835.45
2415,2024-02-18,1022.3
2416,2024-02-19,1073.2
2417,2024-02-22,1484.75
2418,2024-02-23,2152.85
2419,2024-02-24,1204.05
2420,2024-02-25,1349.1
2421,2024-02-26,986.15
2422,2024-02-27,1624.5
2423,2024-02-28,227.7
2424,2024-02-29,2276.05
2425,2024-03-01,2646.65
2426,2024-03-02,3188.3
2427,2024-03-03,2305.7
2428,2024-03-04,1896.6
2429,2024-03-05,2153.4
2430,2024-03-07,1784.65
2431,2024-03-08,2117.8
2432,2024-03-09,2115.2
2433,2024-03-10,2949.55
2434,2024-03-11,1551.2
2435,2024-03-12,66.0
2436,2024-03-13,138.0
2437,2024-03-14,1154.6
2438,2024-03-15,1472.25
2439,2024-03-16,371.3
2440,2024-03-17,1081.0
2441,2024-03-18,1498.1
2442,2024-03-19,1043.05
2443,2024-03-21,2600.9
2444,2024-03-22,3505.45
2445,2024-03-23,2759.05
2446,2024-03-24,1949.35
2447,2024-03-25,2612.4
2448,2024-03-26,1976.75
2449,2024-03-27,147.0
2450,2024-03-28,2032.85
2451,2024-03-29,4196.45
2452,2024-03-30,2341.55
2453,2024-03-31,6051.85
2454,2024-04-01,4032.6
2455,2024-04-02,2954.8
2456,2024-04-03,32.95
2457,2024-04-04,5359.65
2458,2024-04-05,4459.7
2459,2024-04-06,3001.15
2460,2024-04-07,4063.3
2461,2024-04-08,3347.35
2462,2024-04-09,1123.0
2463,2024-04-14,1421.75
2464,2024-04-15,938.05
2465,2024-04-16,1319.55
2466,2024-04-18,751.3
2467,2024-04-19,1073.95
2468,2024-04-20,949.55
2469,2024-04-21,845.7
2470,2024-04-22,302.0
2471,2024-04-23,1177.4
2472,2024-04-25,902.4
2473,2024-04-26,414.85
2474,2024-04-27,864.35
2475,2024-04-28,868.3
2476,2024-04-29,1214.35
2477,2024-04-30,760.1
2478,2024-05-02,478.85
2479,2024-05-03,1125.15
2480,2024-05-04,1473.65
2481,2024-05-05,866.0
2482,2024-05-06,524.35
2483,2024-05-07,1224.0
2484,2024-05-09,1217.05
2485,2024-05-10,1307.45
2486,2024-05-11,1379.2
2487,2024-05-12,1949.75
2488,2024-05-13,1050.85
2489,2024-05-14,1401.7
2490,2024-05-16,1340.85
2491,2024-05-17,1547.8
2492,2024-05-18,1600.05
2493,2024-05-19,1061.8
2494,2024-05-20,932.8
2495,2024-05-21,931.5
2496,2024-05-23,1067.8
2497,2024-05-24,1282.4
2498,2024-05-25,1626.55
2499,2024-05-26,1465.55
2500,2024-05-27,1302.85
2501,2024-05-28,1212.65
2502,2024-05-30,2097.9
2503,2024-05-31,1426.6
2504,2024-06-01,1236.4
2505,2024-06-02,1664.8
2506,2024-06-03,1188.9
2507,2024-06-04,1317.9
2508,2024-06-06,904.5
2509,2024-06-07,1390.1
2510,2024-06-08,1342.7
2511,2024-06-09,927.15
2512,2024-06-10,709.2
2513,2024-06-11,1892.5
2514,2024-06-13,953.3
